sale_date;channel_type;prod_name;cnt;amt;amt_clear
2022-08-12;POS;Рефинансирование Суперсмарт А ;1;500000;500000
2022-08-26;КЦ;Практичный пенсионный ;38;11065715,6;9061600
2021-04-14;DBO;Адресный Первый;8;1320470;1030000
2022-06-29;КЦ;Суперсмарт АП ;10;2469524,6;2171000
2022-06-27;DBO;Рефинансирование Суперсмарт АП ;1;300000;300000
2022-07-17;DBO;Суперсмарт ;16;10174455;9456500
2021-03-01;Почта;Адресный Первый;9;2765006,5;2426500
2022-09-25;DBO;Рефинансирование Практичный АЛ ;1;335483;260000
2021-04-22;Почта;ПраймАдресный Первый  ;35;11479340;9958000
2021-06-03;Почта;Снижаем ставку минимум ;14;14192900;13363500
2022-05-30;КЦ;Суперсмарт пенсионный ;8;1437403,13;1228500
2022-12-25;КЦ;Практичный АП ;4;1544396,57;1150000
2021-07-12;КЦ;Рефинансирование;8;4364105,92;3694848,3
2022-07-07;Почта;Практичный АЛ ;63;18401587;14560500
2022-09-08;КЦ;Рефинансирование Суперсмарт ;1;339999;300000
2022-06-23;Стойки;Практичный АЛ ;2;813631;601000
2022-08-23;Почта;Практичный АПЛ ;6;1885599;1520000
2021-11-24;Почта;АЛ Снижаем ставку ;2;1167810;1053000
2022-02-13;КЦ;Суперсмарт Лайт АП ;4;1389428;1204000
2022-07-07;POS;Практичный ;1;188972,5;133000
2021-09-05;МАП;ПраймАдресный  ;1;330000;330000
2021-11-15;КЦ;Перспектива Лайт А  ;169;69416612,2;60379500
2021-01-24;DBO;Суперхит  Адресный;8;1784120;1375000
2021-10-18;МФЦ;Перспектива Лайт АП  ;1;300000;300000
2022-04-24;DBO;Суперсмарт Лайт А ;31;8022100;7627000
2021-04-28;МАП;А Снижаем ставку ;1;500000;500000
2022-02-01;КЦ;Суперсмарт АП ;4;4037600;3725000
2021-03-10;DBO;Адресный;279;89284813;75240000
2021-08-07;DBO;ПраймАдресный  ;78;29196564;25925000
2022-04-13;DBO;Практичный АПЛ ;1;304900;300000
2021-03-23;МАП;Льготный;1;206110;190000
2021-09-29;DBO;Перспектива А  ;3;2405550;2172000
2022-08-28;DBO;Практичный АЛ ;2;794184;720000
2021-02-06;МАП;Адресный Льготный;2;501788;372000
2021-05-28;Почта;Рефинансирование Адресный;9;5204060,96;4655994,14
2022-03-09;POS;Суперсмарт Лайт ;2;277000;277000
2021-05-22;Почта;Снижаем ставку плюс ;3;5967545;5555000
2021-10-03;КЦ;Рефинансирование;1;452300;452300
2022-04-25;КЦ;Суперсмарт А ;19;8733546;7671500
2022-08-17;DBO;Рефинансирование Практичный А ;58;26413103,28;23488400
2021-05-28;DBO;ПраймАдресный  ;143;55941260;48846000
2022-05-27;Почта;Рефинансирование Практичный АЛ ;23;7787081,5;6627500
2021-08-28;Почта;Снижаем ставку ;16;11520704;10812000
2022-02-03;Почта;Практичный АЛ ;78;25122003,12;21731000
2021-09-06;Почта;Шаг навстречу;4;558500;558500
2022-09-20;КЦ;Рефинансирование Практичный А ;67;38404416,64;30811698,7
2021-05-30;DBO;ПраймАдресный Первый  ;1;358900;300000
2021-09-30;КЦ;Перспектива Лайт пенсионный  ;2;963600;843300
2022-09-21;ПФР;Практичный А ;1;466960;400000
2021-08-26;DBO;ПраймАдресный Льготный  ;11;3314824;2739000
2022-01-20;КЦ;Рефинансирование Практичный АП ;3;1066775,84;933000
2022-06-13;КЦ;Суперсмарт АПЛ ;1;320443;259000
2021-04-12;Почта;Суперпочтовый;34;4709319;3972000
2021-12-17;Почта;Практичный А ;354;113154777,2;99650500
2022-06-03;Почта;Суперсмарт ;31;11391927;10044500
2021-06-22;POS;Снижаем ставку минимум ;1;897500;897500
2021-07-12;КЦ;Снижаем ставку А минимум ;3;3246720;2739000
2021-07-19;КЦ;ПраймАдресный й Льготный  ;3;1021656,8;959000
2021-12-03;КЦ;Суперсмарт АП ;4;3232535;3114500
2022-01-13;DBO;Суперсмарт ;4;3969700;3900000
2021-04-01;DBO;Льготный;4;553300;450000
2021-05-03;DBO;А Снижаем ставку ;1;758000;758000
2021-09-08;КЦ;Снижаем ставку ;4;3803185;3520000
2021-04-19;Пятерочка;ПраймСуперпочтовый  ;1;457900;453000
2021-06-21;КЦ;Снижаем ставку А промо ;3;1817800;1808000
2021-07-16;МАП;ПраймАдресный Льготный  ;3;1241812;1032000
2021-08-03;КЦ;АП Снижаем ставку плюс ;1;1100000;1100000
2022-09-03;КЦ;Стабильный А ;12;2741979,7;2741979,7
2021-01-17;DBO;Льготный;6;1387420;1080000
2021-08-16;POS;ПраймАдресный  ;3;1300000;1300000
2022-01-10;КЦ;Суперсмарт АЛ ;2;1096480;1066000
2022-11-09;КЦ;Практичный ;129;43657893,48;35093500
2021-01-22;МАП;Суперхит  Адресный Первый;1;188640;180000
2021-05-03;Стойки;ПраймАдресный Льготный  ;1;453900;449000
2021-08-02;МФЦ;ПраймАдресный  ;2;804400;700500
2022-03-01;Почта;Рефинансирование Суперсмарт Лайт А ;7;2426300;2084000
2022-10-12;DBO;Суперсмарт ;4;2135079;1972500
2021-06-09;КЦ;ПраймАдресный Первый  ;10;3683680;3126000
2021-07-15;КЦ;Рефинансирование Адресный;6;4149485,47;3779948,82
2021-06-25;Почта;Снижаем ставку А промо ;3;2550004;2299000
2022-04-25;МАП;Практичный А ;1;65000;65000
2022-03-29;Почта;Шаг навстречу;2;384700;384700
2021-03-31;МАП;Рефинансирование для пенсионеров;2;367683;357000
2021-11-01;МАП;АЛ Перспектива Лайт  ;1;152980;120000
2022-02-14;МФЦ;Практичный А ;2;778892,8;666000
2022-03-28;DBO;Суперсмарт ;1;743900;670000
2022-11-30;POS;Практичный А ;2;625000;625000
2021-04-15;DBO;ПраймАдресный Первый  ;8;2757580;2493500
2021-04-22;КЦ;Рефинансирование для пенсионеров;5;1011221,08;862499,62
2022-08-17;КЦ;Рефинансирование Практичный АЛ ;17;6441563,3;5042500
2021-04-21;POS;ПраймАдресный  ;1;500000;500000
2021-06-13;DBO;ПраймАдресный Льготный  ;13;5038080;4296000
2021-11-05;КЦ;Перспектива Лайт  ;52;18120268,2;15898000
2022-02-14;Почта;Практичный ;2;946304,8;806000
2021-03-17;КЦ;Адресный Первый;7;3163900;2720000
2021-01-16;КЦ;Суперпочтовый;32;10912850;9314000
2021-07-19;Почта;Рефинансирование Адресный;8;3435641,55;2875698,81
2022-02-12;Почта;Практичный АЛ ;17;4981806,16;4402000
2022-06-07;КЦ;Практичный ;139;55052049,8;45498000
2022-08-25;DBO;Практичный А ;135;48153841,93;44037000
2022-03-30;КЦ;Суперсмарт АП ;2;1199150;1124500
2021-03-02;МАП;Суперхит;1;212000;200000
2021-06-16;Почта;А Снижаем ставку плюс ;1;1748900;1600000
2021-07-09;Почта;А Снижаем ставку ;5;3264335;2890000
2021-07-24;DBO;ПраймАдресный  ;134;48197386;41758000
2022-05-11;POS;Суперсмарт А ;1;103500;103500
2022-05-24;Почта;Практичный АП ;26;11370613,34;9153500
2021-09-14;Почта;Рефинансирование;19;9172928,85;8234386,51
2022-06-22;КЦ;Рефинансирование Суперсмарт Лайт А ;1;646999;500000
2022-07-18;POS;Практичный ;2;1120500;1120500
2021-07-12;Почта;АП Снижаем ставку ;5;3227970;2987000
2021-10-14;DBO;ПраймАдресный  ;11;4388579;3747000
2021-12-10;Почта;Суперсмарт АЛ ;9;5907475;5692500
2021-12-24;Почта;Рефинансирование Суперсмарт А ;1;520003;500100
2022-03-15;КЦ;Рефинансирование Суперсмарт Лайт пенсионный А ;1;93750;79000
2021-01-02;КЦ;Суперхит;8;1536558;1114500
2021-07-17;Почта;Рефинансирование для пенсионеров;1;164640;160000
2021-07-24;DBO;А Снижаем ставку ;4;2685950;2465000
2021-09-22;КЦ;Перспектива Лайт АПЛ  ;1;325740;260000
2021-03-09;МФЦ;Адресный Льготный;3;276733;228000
2021-09-07;КЦ;АПЛ Перспектива Лайт  ;1;590000;500000
2021-02-22;Почта;Адресный Льготный;48;9773675;7494000
2021-05-22;Почта;Снижаем ставку ;4;3083325;2861500
2021-09-24;КЦ;Рефинансирование для пенсионеров;1;277766,88;229600
2022-12-25;Почта;Практичный ;2;492523,58;380000
2021-06-01;Пятерочка;ПраймСуперпочтовый  ;1;244440;203000
2022-01-27;Почта;Практичный АП ;6;2533337,6;2267500
2021-04-10;Почта;Шаг навстречу;2;377100;377100
2021-07-28;КЦ;Снижаем ставку АЛ минимум ;1;517900;513000
2021-10-21;DBO;Кредит наличными;1;150000;150000
2022-07-10;DBO;Стабильный А ;35;4981062,25;4981062,25
2021-06-10;КЦ;ПраймАдресный Первый  ;21;7667030;6640000
2022-01-13;POS;Суперсмарт А ;2;1001000;1001000
2022-01-22;Почта;Суперсмарт АЛ ;1;544311;523700
2022-05-18;КЦ;Практичный А ;56;16739918,92;14028500
2022-08-30;DBO;Суперсмарт ;19;8304610;7632500
2021-01-22;DBO;Адресный;232;77835083;61772000
2021-07-01;DBO;А Снижаем ставку плюс ;2;2150000;2150000
2022-06-10;Почта;Практичный ;265;102488028,6;82900500
2022-06-22;Почта;Рефинансирование Практичный ;4;2123496,6;1687700
2022-10-15;КЦ;Суперсмарт А ;12;8411410;7596000
2021-04-24;КЦ;Рефинансирование Адресный;2;1175799,17;999999,31
2021-06-09;ПФР;Снижаем ставку А минимум ;1;704900;700000
2022-10-28;DBO;Практичный ;31;8679608,92;8178000
2022-07-07;Стойки;Стабильный А ;1;105535,63;105535,63
2022-06-21;МАП;Практичный пенсионный ;1;346980;300000
2021-04-30;КЦ;Снижаем ставку плюс ;5;5645555;5333000
2021-06-03;Почта;Снижаем ставку АП минимум ;2;1595945;1501000
2021-10-13;КЦ;Перспектива А  ;10;9254782,1;8005000
2021-12-01;DBO;Суперсмарт ;3;3174800;3100000
2022-05-14;МФЦ;Суперсмарт пенсионный ;1;182900;180000
2022-08-02;Почта;Стабильный А ;65;13143258,17;13143258,17
2021-03-17;КЦ;Снижаем ставку плюс ;4;5257100;5020500
2021-08-03;КЦ;Рефинансирование;7;4786921,13;4363935,67
2022-01-13;КЦ;Рефинансирование Практичный ;7;2195983,66;1885972
2022-04-25;МАП;Суперсмарт Лайт ;1;644900;500000
2022-06-03;Почта;Рефинансирование Суперсмарт пенсионный А ;12;3115403;2512500
2021-06-18;КЦ;Шаг навстречу;4;959600;959600
2022-02-15;КЦ;Суперсмарт А ;26;22651260;21402500
2022-04-05;МФЦ;Суперсмарт Лайт АЛ ;1;463600;417000
2021-02-09;КЦ;Рефинансирование Адресный;2;440459,4;405800
2021-03-24;ПФР;Льготный;1;65975;50000
2022-09-02;МАП;Суперсмарт ;1;555000;500000
2022-12-11;DBO;Стабильный А ;28;4443584,08;4443584,08
2022-03-15;DBO;Суперсмарт Лайт АП ;7;2276650;2224000
2022-08-07;КЦ;Рефинансирование Практичный АП ;1;628591,8;492000
2022-11-28;Почта;Стабильный А ;19;3688680,06;3688680,06
2021-08-03;КЦ;Снижаем ставку А промо ;1;1136900;1000000
2021-08-17;МАП;ПраймСуперпочтовый  ;8;2474921;2250500
2021-06-20;КЦ;Рефинансирование;3;1013869,5;902600
2021-11-08;Почта;Перспектива АП  ;1;836150;700000
2021-01-04;DBO;Суперхит  Адресный;5;825320;650000
2021-04-12;Почта;АП Снижаем ставку плюс ;1;1095445;1000500
2021-04-21;Почта;ПраймАдресный Льготный  ;69;24344763;21896000
2021-10-30;КЦ;А Снижаем ставку ;5;3873802,5;3384000
2021-11-09;КЦ;РефинансированиеПерспектива пенсионный  ;2;460210;365000
2021-12-24;Почта;Рефинансирование Практичный АП ;2;852700,08;755100
2022-08-29;Почта;Рефинансирование Практичный АЛ ;28;11471394,45;8976109,35
2022-10-13;DBO;Суперсмарт ;3;2138898;1945000
2021-11-12;Почта;Перспектива пенсионный  ;3;2573103,5;2256600
2021-11-08;КЦ;РефинансированиеПерспектива АП  ;1;462500;457600
2022-01-20;Почта;Рефинансирование Практичный АПЛ ;3;941105,14;825000
2021-01-29;Почта;Адресный  Первый;25;8233246,25;6993500
2021-05-04;Почта;Снижаем ставку плюс ;4;5038640;4929500
2022-05-27;Почта;Рефинансирование Суперсмарт ;3;906613;701000
2021-09-24;Почта;Перспектива  ;53;62265919,75;56693500
2021-09-27;Почта;А Перспектива Лайт  ;45;8555013,3;7357500
2021-08-27;КЦ;Рефинансирование Адресный;5;3948616,78;3593099,3
2022-02-15;МАП;Суперсмарт ;1;1085900;1000000
2022-05-06;Почта;Рефинансирование Суперсмарт Лайт ;1;330000;300000
2021-02-12;МАП;Суперхит  Рефинансирование;1;2332860;1977000
2022-02-24;Стойки;Практичный АЛ ;3;309080,24;269000
2022-10-07;DBO;Рефинансирование Суперсмарт А ;13;6864575;6383000
2021-03-18;КЦ;Адресный;224;76425727,5;66508000
2021-10-16;Почта;Перспектива А  ;6;5184520;4680000
2021-12-14;КЦ;Практичный А ;223;82356342,61;72350500
2022-02-16;МАП;Практичный АЛ ;1;400000;400000
2022-05-20;DBO;Суперсмарт Лайт А ;6;2308598;2231000
2021-06-27;DBO;ПраймАдресный Первый  ;1;400240;330000
2021-08-16;МАП;Снижаем ставку ;2;1304900;1300000
2021-09-20;POS;А Перспектива Лайт  ;2;624000;624000
2022-06-25;DBO;Практичный ;33;9666927,5;9377000
2021-06-04;Стойки;ПраймСуперпочтовый  ;3;1064030;924000
2021-07-23;КЦ;ПраймАдресный Первый  ;10;3003661,4;2697500
2022-11-07;DBO;Практичный А ;282;78021731,24;67847500
2021-01-17;КЦ;Суперпочтовый;31;9815053,75;8780500
2021-03-13;КЦ;Льготный;7;1440440,9;1211100
2021-04-26;DBO;Суперпочтовый;3;527630;441000
2021-08-25;КЦ;Снижаем ставку плюс ;5;6731680;6572500
2022-05-04;КЦ;Рефинансирование Практичный ;2;1291273,54;948603
2022-03-28;POS;Суперсмарт А ;1;854000;854000
2022-05-16;КЦ;Рефинансирование Практичный АП ;1;260900;258000
2022-06-22;КЦ;Стабильный А ;107;18166067,75;18166067,75
2021-09-20;КЦ;Перспектива  ;23;22799510;20117000
2021-09-24;Почта;Перспектива АП  ;5;4577780,8;4224500
2022-03-02;DBO;Рефинансирование Практичный А ;2;853140;800000
2022-03-21;Почта;Суперсмарт Лайт АЛ ;39;7778071,4;6307500
2021-06-30;POS;ПраймСуперпочтовый  ;2;516000;516000
2022-06-19;Почта;Практичный ;2;534030,55;400500
2021-07-27;Почта;ПраймЛьготный  ;9;3271181,2;2859900
2021-05-06;Почта;Рефинансирование Адресный;10;4827782,2;4313797,7
2021-09-30;Почта;ПраймАдресный  ;54;21552042,4;19006500
2021-11-25;КЦ;Суперсмарт А ;32;25696235;25038500
2022-04-03;DBO;Суперсмарт Лайт АЛ ;1;30000;30000
2022-05-25;КЦ;Рефинансирование Практичный АП ;1;677249;500000
2022-10-24;Почта;Рефинансирование Практичный ;3;1893859,34;1469000
2022-12-28;КЦ;Суперсмарт А ;10;5866872;5224000
2021-03-30;Почта;Рефинансирование Адресный;9;4167419,6;3612999,66
2021-05-24;КЦ;АП Снижаем ставку ;2;1611600;1510000
2022-07-19;КЦ;Суперсмарт АП ;1;202499;200000
2022-10-29;DBO;Стабильный А ;22;4545566,31;4545566,31
2021-02-01;Стойки;Суперпочтовый;3;811562;716000
2021-10-25;КЦ;ПраймАдресный  ;12;5616688;4938500
2022-09-25;КЦ;Суперсмарт ;3;871598;830500
2021-06-02;МАП;ПраймАдресный Льготный  ;4;1299450;1137000
2021-10-15;МАП;Перспектива Лайт А  ;11;4508777,5;3996500
2022-09-27;Почта;Практичный пенсионный ;51;12616616,12;10164900
2021-12-31;Почта;Суперсмарт ;3;1791930;1751000
2022-08-30;Почта;Практичный АЛ ;137;39931561,01;31634500
2021-05-17;DBO;А Снижаем ставку плюс ;4;5068600;4720000
2021-06-17;Почта;А Снижаем ставку плюс ;1;1210270;1062000
2022-09-08;КЦ;Практичный АП ;21;6670022,72;5437000
2022-10-01;Почта;Суперсмарт пенсионный ;1;127899;110000
2021-02-27;Почта;Суперпочтовый;83;27273967;23678000
2021-03-19;КЦ;Адресный Льготный;135;28145479,25;23468500
2021-11-30;DBO;Практичный АП ;2;709800;700000
2022-07-26;Почта;Суперсмарт АЛ ;2;698118;612000
2022-06-08;КЦ;Суперсмарт АПЛ ;7;1784622;1449000
2022-06-23;КЦ;Рефинансирование Суперсмарт А ;11;3594501,8;3310500
2021-01-18;Почта;Суперхит  Адресный Первый;42;13771735;10445500
2021-05-26;Почта;Рефинансирование;25;14658194,21;13173878,98
2022-04-14;Почта;Рефинансирование Суперсмарт А ;6;2922948;2306000
2021-02-21;Почта;Адресный;4;1981170;1830000
2021-02-25;Почта;Шаг навстречу;2;224200;224200
2021-06-15;КЦ;Адресный Льготный;2;264077;203000
2021-07-01;DBO;Снижаем ставку А минимум ;5;4320330;4104000
2022-12-23;КЦ;Стабильный А ;13;2776382,32;2776382,32
2021-12-07;DBO;Суперсмарт ;2;1061900;1055000
2022-03-13;DBO;Суперсмарт Лайт ;20;4996600;4735000
2021-10-23;Стойки;Перспектива Лайт  ;1;273388;216000
2021-11-21;DBO;Перспектива  ;4;3333200;3312500
2021-02-14;МАП;Льготный;1;130000;130000
2021-07-05;Почта;Снижаем ставку ;4;3242175;3131000
2021-12-28;Стойки;Практичный А ;9;2133282,4;1853000
2022-04-13;КЦ;Практичный АПЛ ;1;159997,2;130000
2021-05-07;DBO;ПраймАдресный Льготный  ;4;1139700;974000
2021-08-04;КЦ;А Снижаем ставку ;10;7598000;7136000
2022-07-21;КЦ;Практичный ;93;57266735,29;47134000
2021-06-22;МАП;Рефинансирование Адресный;1;532252;516000
2021-07-30;КЦ;Снижаем ставку ;17;12487592,3;11165000
2021-09-07;Почта;Снижаем ставку АЛ минимум ;2;1258900;1254000
2021-11-15;КЦ;РефинансированиеПерспектива  ;5;3309334,91;2976415,98
2021-01-31;КЦ;Адресный Первый;3;1111400;1025500
2021-10-19;КЦ;Перспектива  ;21;23402798,5;20888500
2021-11-14;DBO;Перспектива Лайт АЛ  ;4;1928724;1815000
2021-11-25;DBO;Перспектива Лайт АП  ;6;1488200;1473500
2021-12-04;Стойки;Практичный АЛ ;3;788525,4;679000
2021-02-27;Почта;Рефинансирование;11;5523228,74;4958764,82
2021-05-20;КЦ;Снижаем ставку ;8;6573130;6063000
2022-02-12;Почта;Суперсмарт Лайт А ;16;6913668;6217000
2021-03-12;ПФР;Суперпочтовый;1;175540;140000
2021-09-01;КЦ;Рефинансирование;3;1596699,46;1369999,55
2021-03-01;КЦ;Рефинансирование;12;5471163,5;5044300
2021-09-25;Почта;Перспектива Лайт А  ;104;40202533,1;35121500
2021-10-02;Почта;А Перспектива Лайт  ;9;1811762,5;1607000
2021-06-16;Почта;Снижаем ставку промо ;11;11797140;11307000
2022-09-23;КЦ;Рефинансирование Практичный АЛ ;8;2598783,6;2043000
2021-03-15;МФЦ;Суперпочтовый;2;250723;210000
2021-08-04;КЦ;Рефинансирование;14;5721547,23;5058798,87
2021-04-14;КЦ;АП Снижаем ставку плюс ;2;2110900;2106000
2021-09-28;Почта;Перспектива Лайт АП  ;26;9470477,8;8001500
2022-02-09;КЦ;Практичный пенсионный ;1;568940;500000
2021-06-14;МАП;А Снижаем ставку ;1;1000000;1000000
2021-09-04;МАП;А Снижаем ставку ;1;1076532;951000
2022-04-21;МАП;Суперсмарт Лайт пенсионный ;1;252400;200000
2022-05-06;КЦ;Суперсмарт АП ;1;875000;875000
2022-05-14;КЦ;Суперсмарт А ;11;4924400;4298000
2021-02-16;Почта;Льготный;120;19405474,5;15252600
2021-03-31;POS;ПраймЛьготный  ;1;500000;500000
2021-08-27;МАП;АП Снижаем ставку ;1;577044;501000
2022-04-09;Почта;Рефинансирование Практичный ;1;470138;370000
2022-06-04;КЦ;Рефинансирование Практичный А ;15;6023591,7;4800100
2022-10-22;Почта;Практичный А ;126;50821261,19;41703500
2021-04-22;МАП;ПраймСуперпочтовый  ;18;7096908;6764500
2021-08-29;DBO;ПраймСуперпочтовый  ;39;13569721;11913000
2021-09-13;МФЦ;А Перспектива Лайт  ;1;205400;200500
2022-05-22;DBO;Рефинансирование Практичный ;1;538522,32;396600
2021-03-29;DBO;ПраймАдресный  ;52;20310540;17598000
2022-01-25;КЦ;Суперсмарт ;15;17080880;16243500
2022-04-07;POS;Суперсмарт Лайт АП ;1;500000;500000
2021-10-26;Почта;Шаг навстречу;1;145800;145800
2021-11-19;Почта;РефинансированиеПерспектива  ;7;5724446,92;5033630,92
2022-03-17;Почта;Рефинансирование Суперсмарт Лайт пенсионный А ;7;1534977;1206000
2022-07-16;Почта;Рефинансирование Практичный АЛ ;8;2239495;1774000
2022-06-09;Почта;Практичный АЛ ;20;4992812,65;3896000
2022-07-09;КЦ;Практичный АПЛ ;2;502112;403000
2022-12-17;DBO;Суперсмарт А ;12;7829756;7220500
2021-03-31;POS;Адресный Льготный;1;175000;175000
2021-06-24;Почта;ПраймАдресный й Льготный  ;1;228932,96;200100
2021-07-19;МФЦ;ПраймАдресный Льготный  ;1;171492;137000
2021-04-06;ПФР;Адресный Льготный;3;489950;450000
2021-11-24;DBO;Перспектива Лайт А  ;172;65392772,8;64202000
2022-03-26;КЦ;Суперсмарт Лайт АП ;6;1566270;1273000
2022-01-15;DBO;Практичный ;5;1694700;1680000
2022-06-23;МФЦ;Практичный пенсионный ;1;252499;250000
2022-07-07;DBO;Суперсмарт АП ;6;1762000;1630000
2022-11-14;МАП;Практичный АП ;1;80000;80000
2021-01-15;КЦ;Суперхит  Адресный;61;20362247,5;15199000
2021-12-09;Почта;Суперсмарт АЛ ;5;3252470;3158000
2022-08-10;Пятерочка;Практичный А ;1;306999;300000
2021-10-15;DBO;А Снижаем ставку ;8;5614337,5;5509000
2022-05-24;КЦ;Рефинансирование Суперсмарт ;2;506724;409500
2022-07-16;КЦ;Рефинансирование Практичный ;8;4086276,6;3303000
2021-01-19;Почта;Суперхит  Адресный;151;50569521;36874000
2021-07-09;Почта;АП Снижаем ставку плюс ;1;1104900;1100000
2021-08-10;POS;ПраймАдресный  ;3;1111300;1020000
2022-08-30;Почта;Рефинансирование Практичный пенсионный ;1;638699;500000
2022-11-22;ПФР;Рефинансирование Практичный А ;1;200000;200000
2021-01-25;ПФР;Суперхит  Адресный;1;371408;278000
2021-05-30;КЦ;Адресный;3;1428450;1305000
2021-11-21;Стойки;Перспектива Лайт А  ;1;300000;300000
2022-07-28;КЦ;Практичный А ;259;104398016,4;84647000
2021-05-19;DBO;Снижаем ставку плюс ;2;3499600;3330000
2022-03-24;МФЦ;Суперсмарт Лайт ;1;389900;350000
2022-08-08;Почта;Суперсмарт А ;17;8028882,5;7101000
2021-06-17;POS;Рефинансирование;1;939999,58;939999,58
2021-10-03;ПФР;Перспектива Лайт  ;1;457900;453000
2021-12-10;КЦ;Суперсмарт А ;33;33627340;32680000
2022-11-05;DBO;Рефинансирование Суперсмарт А ;10;4772714;4331000
2021-03-30;КЦ;ПраймАдресный й Льготный  ;1;303440;253000
2021-05-24;Почта;АЛ Снижаем ставку ;1;611420;514000
2021-10-20;DBO;А Снижаем ставку плюс ;1;1010000;1010000
2022-07-22;КЦ;Суперсмарт АЛ ;2;221138;202000
2021-08-31;Стойки;Снижаем ставку ;2;1111600;1010000
2021-12-29;Почта;Практичный АЛ ;128;33326435,08;28955500
2022-05-13;Почта;Суперсмарт АЛ ;6;1664736;1448000
2022-05-29;КЦ;Суперсмарт Лайт АЛ ;1;312999;306000
2022-06-06;DBO;Рефинансирование Практичный ;1;300000;300000
2021-03-14;Почта;Адресный  Первый;1;104550;100000
2021-06-02;Почта;АП Снижаем ставку ;4;3160200;2905500
2021-06-23;Стойки;ПраймАдресный  ;4;1794382;1659000
2022-04-29;Почта;Рефинансирование Суперсмарт Лайт ;4;922700;772000
2021-03-15;POS;Адресный;2;470000;470000
2021-06-13;DBO;Снижаем ставку минимум ;2;1121600;1020000
2022-08-27;КЦ;Практичный АЛ ;27;8717887,7;6951500
2022-10-10;DBO;Рефинансирование Практичный А ;31;15616347,95;14008000
2021-01-25;Почта;Суперхит  Рефинансирование;7;4078407,7;3117098,3
2021-01-27;КЦ;Суперхит  Рефинансирование;4;1508348,29;1174399,03
2021-05-18;МАП;ПраймАдресный Первый  ;2;676400;671500
2022-06-29;КЦ;Рефинансирование Суперсмарт А ;11;6732890;6084000
2022-06-27;Почта;Рефинансирование Суперсмарт А ;13;5467669;4952000
2021-07-24;Почта;Снижаем ставку А минимум ;3;2732192;2588000
2021-10-05;POS;Перспектива Лайт А  ;2;760000;760000
2021-11-10;Стойки;Перспектива Лайт АЛ  ;1;262900;258000
2021-12-06;КЦ;Суперсмарт АПЛ ;1;520415;500500
2021-12-07;КЦ;Суперсмарт АЛ ;3;1909810;1837000
2022-03-11;Стойки;Суперсмарт Лайт ;1;144900;140000
2021-11-24;DBO;А Перспектива Лайт  ;40;6500482,5;6324000
2022-03-28;Почта;Суперсмарт рефинансирование А ;1;879900;700000
2021-03-24;Почта;Адресный Первый Льготный;32;5244404,8;4420200
2021-04-10;МФЦ;Льготный;2;256950;230100
2021-06-25;DBO;ПраймАдресный  ;162;61687232;53085000
2021-08-17;Почта;АЛ Снижаем ставку плюс ;1;1357000;1150000
2021-11-20;КЦ;Перспектива Лайт пенсионный  ;1;292900;290000
2022-02-17;Почта;Суперсмарт Лайт пенсионный ;54;12662679,1;10822500
2021-09-07;Почта;Снижаем ставку плюс ;4;8353880;7642000
2022-02-16;КЦ;Суперсмарт АЛ ;4;2901270;2743000
2022-04-13;DBO;Практичный ;16;2900100;2860000
2022-01-27;Стойки;Практичный АЛ ;1;65355,2;52000
2021-06-20;КЦ;Снижаем ставку промо ;5;3553640;3332500
2021-07-29;Почта;ПраймСуперпочтовый  ;153;51724283;46937000
2022-04-07;Почта;Рефинансирование Суперсмарт Лайт ;1;329000;250000
2022-08-14;Почта;Практичный пенсионный ;1;227499;220500
2022-09-13;КЦ;Рефинансирование Практичный ;4;2872497,6;2210000
2021-07-16;КЦ;ПраймАдресный  ;177;68545496;59459500
2021-10-01;Почта;АЛ Снижаем ставку плюс ;1;1250084;1024000
2022-04-26;Почта;Практичный ;83;26266540,05;21943000
2022-05-24;КЦ;Рефинансирование Суперсмарт Лайт А ;1;397999;391000
2022-06-14;Почта;Практичный АПЛ ;12;2632895,5;2093500
2021-12-21;Почта;Суперсмарт АП ;8;5256220;5090500
2022-11-08;КЦ;Суперсмарт ;3;1319237;1214500
2021-07-09;Почта;Снижаем ставку А промо ;6;4556621;4055000
2022-07-12;ПФР;Практичный А ;2;999289;850000
2022-10-04;DBO;Суперсмарт АП ;1;252309;221000
2021-02-03;Почта;Суперхит  Адресный;163;49214231,4;36118500
2021-07-27;Почта;Снижаем ставку пенс минимум ;1;1224548;1003000
2021-09-29;КЦ;А Перспектива Лайт  ;14;2244681,5;1988500
2021-03-03;МАП;Рефинансирование для пенсионеров;3;600058,9;543100
2022-01-22;DBO;Суперсмарт АЛ ;2;1414610;1397000
2021-10-24;Стойки;Перспектива Лайт А  ;1;201000;201000
2021-11-14;Почта;Перспектива А  ;1;1540000;1540000
2021-11-30;ПФР;Суперсмарт ;1;520150;505000
2022-05-09;КЦ;Практичный ;1;134779;110000
2022-09-20;Почта;Суперсмарт А ;33;17295687;15072000
2021-12-30;DBO;Суперсмарт ;5;5275600;5200000
2022-09-03;POS;Практичный А ;1;180000;180000
2021-04-05;ПФР;Адресный;2;308270;230000
2022-09-22;Почта;Суперсмарт АЛ ;3;560298;465000
2021-01-12;МАП;Адресный Льготный;5;1201340;1080000
2021-07-24;DBO;Снижаем ставку А минимум ;3;1495500;2362000
2021-10-11;Почта;Перспектива Лайт АПЛ  ;5;1529469;1421000
